1,1,1,test_email 1,descr test_email 1,<html><head><title>This is test_email 1  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
2,2,1,test_email 2,descr test_email 2,<html><head><title>This is test_email 2  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
3,3,1,test_email 3,descr test_email 3,<html><head><title>This is test_email 3  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
4,4,1,test_email 4,descr test_email 4,<html><head><title>This is test_email 4  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
5,1,2,test_sms,descr test_sms,<html><head><title>This is test_sms  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
6,6,1,test_email 5,descr test_email 5,<html><head><title>This is test_email 5  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,0
7,6,2,test_sms 2,descr test_sms 2,<html><head><title>This is test_sms 2  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,0
8,6,3,test_type_3,descr test_type_3,<html><head><title>This is test_type_3  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,0
9,6,4,test_type_4,descr test_type_4,<html><head><title>This is test_type_4  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,0
10,7,1,test email 6,descr test email 6,<html><head><title>This is test email 6  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
11,8,1,test email 7,descr test email 7,<html><head><title>This is test email 7  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
12,9,1,test email 8,descr test email 8,<html><head><title>This is test email 8  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
13,10,1,test email 9,descr test email 9,<html><head><title>This is test email 9  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
14,11,1,test email 10,descr test email 10,<html><head><title>This is test email 10  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
15,12,1,test email 11,descr test email 11,<html><head><title>This is test email 11  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
16,13,1,test email 12,descr test email 12,<html><head><title>This is test email 12  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
17,14,1,test email 13,descr test email 13,<html><head><title>This is test email 13  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
18,15,1,test email 14,descr test email 14,<html><head><title>This is test email 14  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
19,15,1,test email 15,descr test email 15,<html><head><title>This is test email 15  <span class=enco-insert name></span></title></head><body>Test</body></html>,rvelez@en-contexto.com,1
